"name" "date" "kpm" "errors" "place" "group" "group_rank" "group_points" "personal" "effective" "effective_score" "effective_kpm"
"trist" "2015-02-04" 298 54 1 "1" 1 9 10 NA NA NA
"trist" "2015-03-27" 297 57 1 "1" 1 9 11 NA NA NA
"trist" "2015-02-06" 281 65 1 "1" 1 9 12 NA NA NA
"trist" "2015-02-17" 316 65 2 "1" 2 6 13 NA NA NA
"trist" "2015-02-19" 315 60 2 "1" 2 6 14 NA NA NA
"wowanama" "2015-03-20" 258 31 3 "2" 1 9 1 1 9 258
"wowanama" "2015-03-13" 250 42 3 "2" 1 9 2 1 9 250
"wowanama" "2015-02-25" 245 35 3 "2" 1 9 3 1 9 245
"wowanama" "2015-03-25" 244 47 3 "2" 1 9 4 1 9 244
"wowanama" "2015-02-27" 235 34 2 "2" 1 9 5 1 9 235
"wowanama" "2015-03-27" 234 32 3 "2" 1 9 6 1 9 234
"wowanama" "2015-03-11" 225 41 4 "2" 1 9 7 1 9 225
"wowanama" "2015-02-12" 235 41 4 "2" 2 6 8 1 6 235
"wowanama" "2015-02-10" 224 41 3 "2" 2 6 9 1 6 224
"wowanama" "2015-03-06" 207 61 5 "2" 2 6 10 NA NA NA
"wowanama" "2015-03-18" 193 34 5 "2" 2 6 11 NA NA NA
"zebra_1086" "2015-02-04" 74 31 14 "2" 12 NA 1 NA NA NA
"Акциум" "2015-02-10" 287 25 1 "1" 1 9 1 1 9 287
"Акциум" "2015-03-25" 316 30 2 "1" 2 6 2 1 6 316
"Акциум" "2015-02-12" 300 31 2 "1" 2 6 3 1 6 300
"Акциум" "2015-03-13" 297 23 2 "1" 2 6 4 1 6 297
"Акциум" "2015-02-25" 293 38 2 "1" 2 6 5 1 6 293
"Акциум" "2015-03-11" 290 22 2 "1" 2 6 6 1 6 290
"Акциум" "2015-03-27" 284 22 2 "1" 2 6 7 1 6 284
"Акциум" "2015-02-04" 283 28 2 "1" 2 6 8 1 6 283
"Акциум" "2015-03-20" 280 25 2 "1" 2 6 9 1 6 280
"Акциум" "2015-02-06" 264 28 2 "1" 2 6 10 NA NA NA
"Акциум" "2015-02-17" 300 25 3 "1" 3 4 11 NA NA NA
"Акциум" "2015-02-19" 294 28 3 "1" 3 4 12 NA NA NA
"Акциум" "2015-03-06" 290 21 3 "1" 3 4 13 NA NA NA
"Акциум" "2015-03-18" 264 31 3 "1" 3 4 14 NA NA NA
"КатеринаС" "2015-02-17" 218 25 4 "2" 1 9 1 1 9 218
"КатеринаС" "2015-02-25" 229 32 4 "2" 2 6 2 1 6 229
"КатеринаС" "2015-02-19" 217 32 5 "2" 2 6 3 1 6 217
"КатеринаС" "2015-02-12" 208 33 6 "2" 4 3 4 1 3 208
"Мария_Михална" "2015-02-06" 131 13 14 "2" 12 NA 1 NA NA NA
"Серегина_Юлия" "2015-02-17" 191 32 6 "2" 3 4 1 1 4 191
"Серегина_Юлия" "2015-03-27" 188 27 5 "2" 3 4 2 1 4 188
"Серегина_Юлия" "2015-03-25" 208 21 6 "2" 4 3 3 1 3 208
"Серегина_Юлия" "2015-02-10" 192 17 5 "2" 4 3 4 1 3 192
"Серегина_Юлия" "2015-03-13" NA 0 6 "2" 4 3 5 1 3 NA
"Серегина_Юлия" "2015-02-04" 165 29 7 "2" 5 2 6 1 2 165
"Серегина_Юлия" "2015-02-06" 143 33 12 "2" 10 NA 7 NA NA NA
